name,state,state_code,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,degree_type,pred_degree_type,highest_degree,type_school,ST_FIPS,region,locale,hbcu,pbi,annhi,AANAPII,his,nanti,men_only,women_only,admission_rate,sat_avg,distance_only,netprice_lowincome,tuit_fte,inexp_fte,avg_fac_salary,pct_ft_fac,pct_pell,C150_POOLED,age_entry,first_gen,med_fam_inc,pct_grad_degree,pct_domestic,median_hh_income,poverty_rate,unemployment_rate,Women,American Indian / Alaska Native,Asian,Black,Hispanic,Native Hawaiian / Pacific Islander,White,Two Or More Races,Unknown,Non-Resident Foreign,Total Minority
Adams State University,Colorado,CO,4 Year,8782,9440,18222,20456,29238,3154,16,44400,81400,0.56,0.03,3,3,4,1,8,7,33,0,0,0,0,1,0,0,0,0.998252766,1040,0,11129,6779,8530,6465,0.4131,0.3717,0.3047,22.28733625,0.415130941,31933,0.08050000191000001,0.9269999695,50726.71,11.84000015,0.03829999924,0.5478757133798351,0.011731135066582118,0.011731135066582118,0.06055802155992391,0.25745085605580215,0.0031705770450221942,0.5630944831959417,0.039949270767279645,0.0523145212428662,0,1213
Alabama State University,Alabama,AL,4 Year,5422,11068,16490,19396,24818,5519,20,39800,71500,0.61,0.16,3,3,4,1,1,5,12,1,0,0,0,0,0,0,0,0.979912956,955,0,13180,8535,9459,7701,0.6812,0.7205,0.3015,20.13099042,0.343434343,22080.5,0.06760000229,0.9452999878,46065.2,16.95999908,0.048099999430000005,0.6214894002536692,0.0014495379597753216,0.003623844899438304,0.8969016126109802,0.012321072658090234,5.435767349157456e-4,0.03768798695415836,0.010146765718427252,0.013770610617865555,130,5105
Albany College of Pharmacy and Health Sciences,New York,NY,4 Year,10920,35105,46025,35105,46025,1563,1,81000,144800,0.82,0.02,3,3,4,2,36,2,13,0,0,0,0,0,0,0,0,0.718238283,1295,0,22102,25242,19020,9564,0.7544,0.2624,0.7168,20.75510204,0.216981132,79148,0.1007999992,0.9004000092,60872.01,7.650000095,0.03480000019,0.5962891874600128,0.0025591810620601407,0.14587332053742802,0.037747920665387076,0.04030710172744722,0.0012795905310300703,0.6314779270633397,0.010236724248240563,0.05502239283429303,118,372
Alcorn State University,Mississippi,MS,4 Year,9608,7144,16752,7144,16752,3639,10,40900,69500,0.67,0.19,3,3,4,1,28,5,43,1,0,0,0,0,0,0,0,0.389084872,1086,0,13484,3717,5536,6282,0.5809,0.6951,0.4349,21.55928533,0.345105328,18951,0.058800001139999995,0.9751000214,38329.94,22.07999992,0.0546999979,0.6581478428139599,8.244023083264633e-4,0.0027480076944215444,0.9304754053311349,0.0032976092333058533,0.003022808463863699,0.028029678483099753,0.015663643858202802,0,58,3479
Amherst College,Massachusetts,MA,4 Year,14740,56426,71166,56426,71166,1792,10,63800,116500,0.45,0.32,3,3,3,2,25,1,21,0,0,0,0,0,0,0,0,0.087434817,1469,0,4845,28973,35852,13490,0.9468,0.2521,0.9354,19.66005666,0.208459215,42053,0.1719000053,0.81,82187.65,6.96999979,0.03269999981,0.48270089285714285,0.0033482142857142855,0.13058035714285715,0.12388392857142858,0.13113839285714285,5.580357142857143e-4,0.41908482142857145,0.045200892857142856,0.05022321428571429,172,779
Andrews University,Michigan,MI,4 Year,9078,29288,38366,29288,38366,3418,21,47600,85000,0.51,0.07,3,3,4,2,26,3,31,0,0,0,1,0,0,0,0,0.815148783,1180,0,10844,15426,11594,5057,0.6193,0.2261,0.6622,21.49323017,0.172131148,55290,0.10199999809999999,0.8620999908,63096.48,7.929999828,0.03380000114,0.4631363370392042,0.002925687536571094,0.09215915740198946,0.20538326506729082,0.1339964891749561,0.0038033937975424223,0.30514921006436513,0.02077238150965477,0.023112931538911644,727,1569
Appalachian State University,North Carolina,NC,4 Year,8304,7214,15518,22021,30325,18026,15,46600,82700,0.47,0.09,3,3,4,1,37,5,32,0,0,0,0,0,0,0,0,0.846875,1255,0,8116,6660,8027,8058,0.7725,0.2832,0.7272,21.07693575,0.250086356,56100.5,0.0881000042,0.9423999786,61267.04,6.860000134,0.02960000038,0.5533118828359037,0.0024409186730278486,0.014811938311328082,0.032397647842005994,0.03894374791967158,6.102296682569621e-4,0.8569288805059359,0.024464662154665483,0.01741928325751692,216,2049
Arizona Christian University,Arizona,AZ,4 Year,10674,26796,37470,26796,37470,737,5,42600,76600,0.52,0.07,3,3,3,2,4,6,21,0,0,0,0,1,0,0,0,0.759410802,1043,0,27256,13178,4486,5291,0.3222,0.3924,0.4029,22.75910931,0.382550336,36206.5,0.08220000267,0.8758999634,65520.64,7.190000057,0.030499999519999998,0.4491180461329715,0.009497964721845319,0.024423337856173677,0.07462686567164178,0.1546811397557666,0.0067842605156037995,0.6078697421981004,0.04613297150610583,0.05834464043419267,13,233
Auburn University at Montgomery,Alabama,AL,4 Year,6980,10288,17268,22048,29028,5057,13,45000,79600,0.61,0.12,3,3,4,1,1,5,12,0,0,0,0,0,0,0,0,0.967988253,1069,0,12912,7879,7040,7885,0.6901,0.4821,0.3307,22.19980411,0.38189609,29671.5,0.09090000153,0.9684999847,50723.81,13,0.03789999962,0.6393118449673719,0.004548151077714059,0.02056555269922879,0.32291872651769826,0.007118845165117659,0.0017797112912794147,0.5086019379078505,0.026893415068222265,0.06228989519477952,229,1941
Augusta University,Georgia,GA,4 Year,9640,10758,20398,29796,39436,7988,13,47000,84400,0.69,0.1,3,3,4,1,13,5,12,0,0,0,0,0,0,0,0,0.732818817,1195,0,12930,11732,12980,8928,0.6692,0.372,0.4852,22.65570175,0.283190067,37793.5,0.08770000458,0.9333000183,60039.81,10.03999996,0.03670000076,0.6233099649474211,0.003129694541812719,0.06259389083625438,0.21119178768152227,0.04982473710565849,0.002754131196795193,0.5781171757636455,0.041061592388582875,0.03242363545317977,151,2960
